0 | 0-1 | 0 | 44221927
1 | 3-5 | 0 | 39218017
2 | 6-10 | 0 | 9428152
3 | 2-7 | 0 | 45389636
4 | 8-9 | 0 | 10673588
5 | 4-11 | 0 | 27765634
6 | 13-14 | 0 | 14719067
7 | 12-15 | 0 | 30852484
8 | 16-17 | 0 | 109701
9 | 18-19 | 0 | 8104553
10 | 20-21 | 0 | 39907873
11 | 22-23 | 0 | 29700486
12 | 24-25 | 0 | 28755390
13 | 27-28 | 0 | 36232008
15 | 30-40 | 0 | 10079275
16 | 29-33 | 0 | 33319797
17 | 39-41 | 0 | 36773601
14 | 34-35 | 0 | 48254193
18 | 32-36 | 0 | 27227814
21 | 26-44 | 0 | 48687570
20 | 38-43 | 0 | 8659894
22 | 31-47 | 0 | 14766143
24 | 48-50 | 0 | 24160829
23 | 45-46 | 0 | 35134500
26 | 52-55 | 0 | 24998551
25 | 53-54 | 0 | 12404136
27 | 49-57 | 0 | 34347937
28 | 58-59 | 0 | 27864374
19 | 37-42 | 0 | 394499
29 | 51-56 | 0 | 21137208
 Prueba finalizada 
0 | 0-1 | 0 | 44221927
1 | 3-8 | 0 | 39218017
2 | 2-10 | 0 | 9428152
4 | 5-7 | 0 | 10673588
3 | 4-9 | 0 | 45389636
5 | 6-11 | 0 | 27765634
6 | 12-13 | 0 | 14719067
7 | 14-15 | 0 | 30852484
8 | 16-17 | 0 | 109701
9 | 18-19 | 0 | 8104553
10 | 20-22 | 0 | 39907873
11 | 21-23 | 0 | 29700486
12 | 24-25 | 0 | 28755390
13 | 27-29 | 0 | 36232008
14 | 28-31 | 0 | 48254193
15 | 26-30 | 0 | 10079275
16 | 32-33 | 0 | 33319797
17 | 34-36 | 0 | 36773601
18 | 35-37 | 0 | 27227814
20 | 41-44 | 0 | 8659894
1922 | 43-45 | 0 | 14766143
21 | 39-42 | 0 | 48687570
 | 38-40 | 0 | 394499
23 | 46-47 | 0 | 35134500
24 | 49-50 | 0 | 24160829
25 | 48-51 | 0 | 12404136
26 | 52-54 | 0 | 24998551
27 | 56-58 | 0 | 34347937
28 | 53-59 | 0 | 27864374
29 | 55-57 | 0 | 21137208
 Prueba finalizada 
